id,name,definition,purpose,status,meta_meta,examples,relations,created,updated
C_10,Инвестирование и учет времени,"Практика осознанного распределения временных ресурсов между различными активностями с отслеживанием их влияния на карьерные цели. Включает планирование времени на основе приоритетов, фиксацию фактических затрат и анализ эффективности вложений времени в разные виды деятельности.","Обеспечивает осознанное управление главным невосполнимым ресурсом — временем. Позволяет выявлять временные утечки, оптимизировать распределение усилий между текущими задачами и долгосрочным развитием, повышать отдачу от инвестиций в обучение и карьерный рост.",draft+filled,Метод,Еженедельный анализ времени по категориям; Трекинг времени на обучение vs рабочие задачи; Планирование слотов для приоритетных проектов; Учет времени на практики саморазвития; Анализ ROI временных инвестиций,relates_to:C_21; relates_to:C_27; relates_to:C_28; relates_to:C_35; relates_to:C_36; relates_to:C_37; relates_to:C_50; relates_to:C_51; relates_to:C_53,2025-10-02T15:58:57.449181,2025-10-02T16:09:59.636295
C_11,Исчезающие заметки,"Быстрые записи мыслей, идей или наблюдений, которые делаются в момент возникновения без намерения их долгосрочного хранения. Служат для фиксации мимолетных инсайтов и освобождения оперативной памяти мозга. После обработки или переноса в постоянную систему знаний могут удаляться или архивироваться.","Захват спонтанных идей и предотвращение их потери, снижение когнитивной нагрузки, создание буферной зоны между потоком мыслей и структурированной системой знаний. Особенно важны для творческих профессионалов и людей с высокой интенсивностью мыслительной деятельности.",draft+filled,Артефакт,Заметка в телефоне во время прогулки; Стикер на мониторе с идеей; Голосовое сообщение себе; Набросок на салфетке; Пометка на полях книги,relates_to:C_24; relates_to:C_26; relates_to:C_54,2025-10-02T15:58:57.449699,2025-10-02T16:10:15.846000
C_12,Калибр личности,"Совокупность профессиональных и личностных характеристик, определяющих уровень влияния, доверия и возможностей человека в карьерной среде. Включает экспертизу, репутацию, коммуникативные навыки и способность решать задачи возрастающей сложности. Отражает готовность брать на себя ответственность и создавать ценность для других.","Помогает оценить текущий уровень профессионального развития и определить направления роста. Позволяет выбирать подходящие роли и проекты, строить карьерную стратегию с учетом реальных возможностей. Используется для планирования инвестиций в развитие компетенций и репутации.",draft+filled,Характеристика,Переход на роль тимлида после накопления экспертизы; Получение приглашений на сложные проекты; Рост зарплатных предложений; Формирование личного бренда в профессиональном сообществе; Способность влиять на стратегические решения команды,relates_to:C_2; relates_to:C_3; relates_to:C_23; relates_to:C_43; relates_to:C_45; relates_to:C_46,2025-10-02T15:58:57.450182,2025-10-02T16:10:27.504416
C_13,Карта ролей / карта системы карьеры,"Визуальное представление всех профессиональных и личных ролей человека с указанием их взаимосвязей, приоритетов и временных затрат. Включает текущие роли, желаемые роли и переходы между ними. Показывает, как роли влияют друг на друга и какие ресурсы требуют.","Помогает осознать полную картину своих обязательств, выявить конфликты ролей и возможности для синергии. Используется для принятия решений о карьерных переходах и балансе жизненных приоритетов.",draft+filled,Артефакт,Схема с ролями «разработчик-тимлид-отец-блогер»; Матрица ролей с указанием времени и энергии; Диаграмма желаемых переходов между ролями; Карта конфликтов и синергий ролей; План развития от текущих к целевым ролям,relates_to:C_46; relates_to:C_14; relates_to:C_48; relates_to:C_27,2025-10-02T15:58:57.450602,2025-10-02T16:10:39.887381
C_14,Карьера,"Последовательность профессиональных ролей, проектов и достижений человека, развивающаяся через осознанные инвестиции в мастерство, репутацию и социальные связи. Включает как формальные позиции в организациях, так и личные проекты, предпринимательство и экспертную деятельность. Не путать с карьерным ростом — карьера это вся траектория, а рост — её отдельные этапы повышения статуса или компетенций.","Обеспечивает рамку для планирования профессионального развития, принятия решений о смене ролей и инвестициях в обучение. Позволяет оценивать текущее положение и выстраивать стратегию достижения желаемых позиций через накопление мастерства и репутации.",draft+filled,Система,Переход на позицию тимлида; Запуск консалтингового бизнеса; Развитие экспертности в машинном обучении; Построение личного бренда через публикации; Смена индустрии с сохранением профессии,relates_to:C_13; relates_to:C_15; relates_to:C_48; relates_to:C_2; relates_to:C_23; relates_to:C_43; relates_to:C_45; relates_to:C_46,2025-10-02T15:58:57.451018,2025-10-02T16:10:59.361421
C_15,Карьерный рост,"Процесс целенаправленного развития профессиональных возможностей через повышение мастерства, расширение ролей и увеличение влияния. Включает продвижение по должности, освоение новых компетенций, рост доходов и профессионального признания. Отличается от карьеры как системы тем, что фокусируется на динамике изменений, а не на текущем состоянии.","Обеспечивает направленное движение в профессиональной деятельности, помогает планировать следующие шаги развития и измерять прогресс. Создаёт основу для принятия решений о смене ролей, развитии компетенций и инвестировании времени в приоритетные области.",draft+filled,Метод,Переход на позицию тимлида; Освоение новой технологии для текущей роли; Получение сертификации; Увеличение зарплаты на 30% за год; Выступление на профессиональной конференции,relates_to:C_14; relates_to:C_23; relates_to:C_46; relates_to:C_33; relates_to:C_53; relates_to:C_27,2025-10-02T15:58:57.451444,2025-10-02T16:11:11.215299
C_16,Киберличность,"Цифровая идентичность профессионала, включающая онлайн-репутацию, цифровые следы активности и способность эффективно взаимодействовать в цифровой среде. Объединяет управление личным брендом в интернете, цифровые компетенции и стратегическое присутствие на профессиональных платформах.","Формирование узнаваемого профессионального образа в цифровом пространстве, расширение карьерных возможностей через онлайн-присутствие, создание дополнительных каналов для демонстрации экспертности и установления профессиональных связей.",draft+filled,Характеристика,Профиль в LinkedIn с регулярными публикациями; Личный блог или канал по профессиональной тематике; Участие в онлайн-конференциях и вебинарах; Цифровое портфолио работ; Активность в профессиональных сообществах,relates_to:C_3; relates_to:C_43; relates_to:C_45; relates_to:C_44,2025-10-02T15:58:57.451867,2025-10-02T16:11:24.230034
C_17,Конвейер работ,"Организованная последовательность рабочих задач и проектов, где каждый элемент проходит через определённые стадии выполнения с чёткими переходами между ними. Включает входящие задачи, активные работы, проверку качества и завершённые результаты. Обеспечивает непрерывный поток создания ценности через структурированное управление рабочими процессами.","Поддерживать стабильную продуктивность через визуализацию и контроль рабочих процессов. Предотвращать перегрузку и простои, обеспечивать качественное выполнение задач. Создавать предсказуемый ритм работы и возможность планирования загрузки на основе пропускной способности системы.",draft+filled,Метод,"Канбан-доска с колонками ""К выполнению - В работе - На проверке - Готово""; Еженедельный обзор активных проектов с перемещением по стадиям; Ограничение количества одновременных задач; Ритуал планирования новых работ на основе освободившихся слотов; Отслеживание времени прохождения задач через конвейер",relates_to:C_1; relates_to:C_28; relates_to:C_37; relates_to:C_38; relates_to:C_44; relates_to:C_50; relates_to:C_51; relates_to:C_54,2025-10-02T15:58:57.452279,2025-10-02T16:11:37.957577
C_18,Конструктивное выравнивание,"Принцип согласования целей обучения, методов работы и критериев оценки результатов в рамках одного проекта или роли. Обеспечивает, чтобы то, что изучается или развивается, соответствовало способам работы и тому, как измеряется успех. Создаёт целостность между намерениями, действиями и обратной связью.","Устраняет противоречия между планами и реальностью, повышает эффективность обучения и работы, помогает избежать ситуаций когда развиваешь одно, делаешь другое, а оцениваешься по третьему. Ключевой принцип для осознанного карьерного развития.",draft+filled,Метод,Согласование KPI с реальными рабочими задачами; Выбор практик саморазвития под конкретные карьерные цели; Настройка обратной связи под методы работы; Синхронизация личных целей с требованиями роли; Выравнивание критериев приёмки проекта с его целями,relates_to:C_20; relates_to:C_23; relates_to:C_31; relates_to:C_33; relates_to:C_35; relates_to:C_46; relates_to:C_53,2025-10-02T15:58:57.452786,2025-10-02T16:11:51.860514
C_19,Консультанты и карьерные трекеры,"Внешние специалисты, которые помогают профессионалам в планировании и развитии карьеры через структурированные консультации, обратную связь и экспертизу. Включают карьерных коучей, HR-консультантов, менторов и специализированных трекеров прогресса. Предоставляют объективный взгляд со стороны и профессиональные инструменты анализа карьерных траекторий.","Получение экспертной поддержки в карьерных решениях, объективной оценки текущего состояния и возможностей роста. Помогают структурировать карьерные планы, выявить слепые зоны в развитии и получить обратную связь от опытных практиков. Особенно ценны на переломных этапах карьеры и при смене направлений.",draft+filled,Роль,Сессия с карьерным коучем для анализа целей; Консультация HR-эксперта по рынку; Регулярные встречи с ментором; Использование карьерных трекеров и приложений; Участие в карьерных воркшопах,relates_to:C_2; relates_to:C_14; relates_to:C_15; relates_to:C_27; relates_to:C_48; relates_to:C_53,2025-10-02T15:58:57.453205,2025-10-02T16:12:04.257105
C_1,«Ворота» между стадиями,"Контрольные точки перехода между этапами развития карьеры или обучения, где проверяется готовность к следующему уровню. Включают критерии оценки достигнутых результатов, необходимые компетенции и артефакты для подтверждения прогресса. Служат механизмом качественного перехода от одной стадии мастерства к другой.","Обеспечивают осознанное и качественное продвижение по карьерной траектории, предотвращают преждевременные переходы и помогают объективно оценить готовность к новым вызовам и ответственности.",draft+filled,Состояние,Защита проекта перед переходом на новую роль; Аттестация на следующий грейд; Завершение испытательного срока; Сдача сертификационного экзамена; Презентация портфолио достижений,relates_to:C_20; relates_to:C_23; relates_to:C_33; relates_to:C_52,2025-10-02T15:58:57.444412,2025-10-02T15:59:54.400649
C_20,Критерии приёмки,"Конкретные, измеримые условия завершения работы или достижения цели, которые позволяют однозначно определить готовность результата. Включают качественные и количественные параметры, сроки и формат deliverable. Формулируются до начала работы и служат основой для оценки успешности выполнения.","Обеспечивают ясность ожиданий от работы, предотвращают бесконечные доработки, позволяют объективно оценить завершённость задач. Помогают в планировании времени и ресурсов, создают основу для самоконтроля и отчётности перед заказчиками или руководством.",draft+filled,Показатель,Завершение статьи при достижении 2000 слов и 3 проверок; Готовность презентации после 15 слайдов и репетиции; Финализация проекта при выполнении всех пунктов чек-листа; Сдача отчёта в формате PDF до пятницы 18:00,relates_to:C_27; relates_to:C_28; relates_to:C_34; relates_to:C_44; relates_to:C_51,2025-10-02T15:58:57.453638,2025-10-02T16:12:17.317019
C_21,Крошки времени,"Короткие промежутки времени (5-15 минут), которые возникают между основными задачами или в ожидании. Могут использоваться для выполнения простых, но важных действий, не требующих глубокой концентрации. Включают время в транспорте, перерывы между встречами, ожидание в очередях.","Максимизация продуктивности через эффективное использование фрагментированного времени. Позволяет продвигаться в проектах даже при плотном графике, накапливать прогресс в обучении и поддерживать рабочие процессы без выделения больших временных блоков.",draft+filled,Значение,Чтение профессиональных статей в метро; Обработка коротких email в перерыве между встречами; Запись мимолетных идей; Просмотр и сортировка заметок; Быстрые звонки коллегам,relates_to:C_10; relates_to:C_11; relates_to:C_24; relates_to:C_28; relates_to:C_50; relates_to:C_51,2025-10-02T15:58:57.454111,2025-10-02T16:12:29.546908
C_22,Личный контракт,"Письменное соглашение с самим собой, фиксирующее обязательства по карьерному развитию, включая цели, ресурсы, временные рамки и критерии успеха. Содержит конкретные действия, показатели прогресса и механизмы самоконтроля. Отличается от планов тем, что создаёт формальную ответственность перед собой с чёткими условиями выполнения.","Создание структурированной ответственности за собственное развитие, повышение дисциплины в достижении карьерных целей, обеспечение регулярного самоконтроля и корректировки траектории развития",draft+filled,Артефакт,Еженедельный контракт на изучение новой технологии; Контракт на развитие публичных выступлений с конкретными метриками; Соглашение с собой о смене профессиональной области за полгода; Контракт на построение экспертности через написание статей; Обязательство по networking с указанием количества новых контактов,relates_to:C_2; relates_to:C_20; relates_to:C_27; relates_to:C_33; relates_to:C_51,2025-10-02T15:58:57.454594,2025-10-02T16:12:41.436024
C_23,Мастерство (компетенции),"Совокупность знаний, навыков и опыта в определённой области, позволяющая решать профессиональные задачи на высоком уровне. Включает техническую экспертизу, понимание контекста применения и способность передавать знания другим. Развивается через осознанную практику и рефлексию.","Обеспечивает профессиональную ценность на рынке труда, создаёт основу для карьерного роста и повышения дохода. Позволяет брать на себя более сложные задачи и роли, формирует репутацию эксперта в области.",draft+filled,Характеристика,Глубокое знание технологий разработки; Способность проводить стратегические сессии; Экспертиза в управлении командой; Навыки публичных выступлений; Умение писать техническую документацию,relates_to:C_31; relates_to:C_35; relates_to:C_42; relates_to:C_45; relates_to:C_52,2025-10-02T15:58:57.455047,2025-10-02T16:12:51.753118
C_24,Мимолетные заметки (синоним «Исчезающие заметки»),"Быстрые записи идей, мыслей или наблюдений, которые фиксируются в момент возникновения без детальной проработки. Служат для захвата информации, которая может быть потеряна, если не записать её немедленно. Отличаются краткостью и спонтанностью, требуют последующей обработки для превращения в полноценные рабочие продукты.",Предотвращение потери ценных идей и инсайтов в процессе карьерного развития. Создание исходного материала для дальнейшего анализа и планирования. Поддержание непрерывности мыслительного процесса между основными рабочими сессиями.,draft+filled,Артефакт,Запись идеи проекта на салфетке; Голосовая заметка с мыслью о карьерном шаге; Краткая фиксация инсайта после встречи; Быстрая запись в телефон во время прогулки; Пометка на полях книги,relates_to:C_11; relates_to:C_26; relates_to:C_44,2025-10-02T15:58:57.455512,2025-10-02T16:13:03.977970
C_25,Мыслительный резонанс,"Состояние глубокой концентрации и продуктивности мышления, когда идеи легко связываются между собой, а решения приходят естественно. Характеризуется высокой скоростью обработки информации, ясностью мысли и способностью видеть неочевидные связи между концепциями.",Максимизировать качество интеллектуальной работы и скорость принятия решений. Создать условия для прорывных инсайтов и творческих решений в карьерных задачах.,draft+filled,Состояние,Утренние часы для стратегических решений; Работа в тишине без уведомлений; Использование техники помодоро для поддержания фокуса; Ведение дневника для отслеживания пиковых состояний; Планирование сложных задач на время естественного подъема энергии,relates_to:C_26; relates_to:C_39; relates_to:C_27; relates_to:C_53; relates_to:C_55,2025-10-02T15:58:57.455989,2025-10-02T16:13:17.684051
C_26,Мышление письмом,"Практика формулирования и развития мыслей через письменную фиксацию идей, рассуждений и выводов. Включает структурирование размышлений на бумаге или в цифровом виде для прояснения логики, выявления пробелов в рассуждениях и генерации новых инсайтов. Отличается от простого записывания тем, что письмо становится инструментом самого мыслительного процесса.","Помогает структурировать сложные карьерные решения, прояснить цели и приоритеты, зафиксировать инсайты для дальнейшего использования. Особенно эффективно при стратегическом планировании карьеры и рефлексии над профессиональным опытом.",draft+filled,Метод,Ведение карьерного дневника; Письменная подготовка к важным переговорам; Структурирование мыслей перед принятием решения о смене работы; Фиксация инсайтов после обучающих событий; Подготовка письменного плана развития компетенций,relates_to:C_11; relates_to:C_24; relates_to:C_25; relates_to:C_27; relates_to:C_53,2025-10-02T15:58:57.456421,2025-10-02T16:13:30.201251
C_27,Недельное стратегирование,"Регулярная практика планирования и корректировки карьерных действий в рамках недельного цикла. Включает анализ прошедшей недели, постановку целей на следующую неделю и распределение времени между приоритетными проектами. Отличается от долгосрочного планирования фокусом на конкретные действия и быструю адаптацию к изменениям.","Обеспечивает регулярную настройку карьерной траектории, поддерживает фокус на приоритетах и позволяет быстро реагировать на новые возможности. Создает ритм осознанного развития карьеры через короткие циклы планирования и рефлексии.",draft+filled,Метод,Еженедельный обзор проектов и ролей; Планирование времени на обучение и развитие; Корректировка приоритетов на основе обратной связи; Распределение слотов времени между задачами; Анализ прогресса по ключевым показателям,relates_to:C_28; relates_to:C_51; relates_to:C_53; relates_to:C_50; relates_to:C_33; relates_to:C_36; relates_to:C_37; relates_to:C_38,2025-10-02T15:58:57.456826,2025-10-02T16:13:50.691021
C_28,Недельный цикл,"Повторяющаяся структура планирования и выполнения работ с периодом в одну неделю. Включает фазы стратегирования, выполнения приоритетных проектов, отслеживания показателей прогресса и рефлексии результатов. Основан на балансе между рабочими и инвестиционными активностями.","Обеспечивает ритмичность в карьерном развитии, позволяет регулярно корректировать направление и поддерживать фокус на приоритетах. Создает предсказуемую структуру для накопления мастерства и достижения долгосрочных целей через последовательные короткие циклы.",draft+filled,Метод,Недельное планирование в воскресенье; Ежедневные 15-минутные ретроспективы; Пятничный обзор достижений недели; Выделение времени на приоритетный проект каждый день; Еженедельная корректировка личного контракта,relates_to:C_27; relates_to:C_51; relates_to:C_36; relates_to:C_37; relates_to:C_38; relates_to:C_33; relates_to:C_22; relates_to:C_10,2025-10-02T15:58:57.457304,2025-10-02T16:14:02.720714
C_29,Неудовлетворённость,"Эмоциональное состояние, возникающее при осознании разрыва между текущим положением в карьере и желаемым. Проявляется как внутреннее напряжение от несоответствия ожиданий реальности, недостатка роста или смысла в работе. Служит сигналом для запуска изменений и может быть конструктивной силой для развития при правильном использовании.","Индикатор необходимости карьерных изменений и источник мотивации для развития. Помогает выявить проблемные области карьеры, запустить процесс стратегирования и принятия решений о направлении роста. Преобразует дискомфорт в энергию для конструктивных действий.",draft+filled,Состояние,Ощущение застоя в текущей роли; Понимание что навыки не развиваются; Желание сменить направление деятельности; Потребность в новых вызовах и задачах; Осознание несоответствия ценностей и работы,relates_to:C_2; relates_to:C_27; relates_to:C_53; relates_to:C_46; relates_to:C_14,2025-10-02T15:58:57.457806,2025-10-02T16:14:17.238028
C_2,Агентность,"Способность человека инициировать изменения в своей карьере и брать ответственность за результаты. Включает готовность действовать самостоятельно, принимать решения и влиять на собственное профессиональное развитие, а не ждать внешних указаний или благоприятных обстоятельств.",Позволяет переходить от пассивного ожидания возможностей к активному созданию карьерных перспектив. Основа для осознанного управления профессиональным развитием и достижения карьерных целей через собственные действия.,draft+filled,Характеристика,Самостоятельное планирование недельных приоритетов; Инициирование переговоров о новой роли; Запуск личного проекта для развития компетенций; Поиск ментора без указания руководства; Создание собственного плана обучения,relates_to:C_32; relates_to:C_27; relates_to:C_48; relates_to:C_49,2025-10-02T15:58:57.445140,2025-10-02T16:08:28.275883
C_30,Онтологический дребезг,"Хаотичное смешение понятий разного уровня абстракции и типа в одном рассуждении или документе. Возникает когда методы, артефакты, характеристики, роли и проблемы используются без различения их природы и назначения. Проявляется в неструктурированных списках задач, где перемешаны действия, цели, инструменты и состояния.","Помогает распознать и устранить концептуальную путаницу в планировании карьеры. Позволяет структурировать мышление через разделение понятий по типам, что повышает ясность целей и эффективность действий. Предотвращает принятие решений на основе смешанных категорий.",draft+filled,Проблема,"Список задач ""изучить Python, стать лидером, написать резюме, найти ментора, быть проактивным""; Планирование где смешаны навыки и инструменты; Обсуждение карьеры без различения ролей и компетенций; Стратегия развития с перемешанными методами и артефактами",relates_to:C_13; relates_to:C_23; relates_to:C_27; relates_to:C_44; relates_to:C_46; relates_to:C_53,2025-10-02T15:58:57.458258,2025-10-02T16:14:32.068745
C_31,Осознанное обучение (vs интуитивное),"Целенаправленный процесс освоения знаний и навыков с явным пониманием целей, методов и критериев успеха. Включает рефлексию над процессом, отслеживание прогресса и корректировку подхода. Противопоставляется интуитивному обучению, где человек полагается на естественное погружение без структурированного планирования.","Повышает эффективность развития профессиональных компетенций через структурированный подход. Позволяет быстрее достигать целей обучения, избегать типичных ошибок и осознанно выбирать методы развития под конкретные карьерные задачи.",draft+filled,Метод,Составление плана изучения новой технологии с контрольными точками; Ведение дневника обучения с анализом ошибок; Установка измеримых целей для освоения навыка; Регулярная самооценка прогресса по критериям; Выбор источников обучения под конкретную рабочую задачу,relates_to:C_23; relates_to:C_33; relates_to:C_35; relates_to:C_49; relates_to:C_52,2025-10-02T15:58:57.458669,2025-10-02T16:14:44.087167
C_32,Пассажирский режим,"Состояние пассивного участия в карьерных процессах, когда человек следует внешним указаниям и обстоятельствам без проявления собственной инициативы. Характеризуется реактивным поведением, ожиданием решений от других и минимальным влиянием на траекторию развития. Противоположность агентности в управлении карьерой.",Помогает распознать моменты утраты контроля над карьерным развитием и служит сигналом для активизации осознанного планирования. Используется для диагностики текущего состояния и мотивации к переходу в более активную позицию управления карьерой.,draft+filled,Состояние,Выполнение задач без понимания целей; Ожидание назначений на проекты; Следование чужим карьерным советам без анализа; Откладывание важных карьерных решений; Работа по инерции без стратегического планирования,relates_to:C_2; relates_to:C_29; relates_to:C_39; relates_to:C_53,2025-10-02T15:58:57.459094,2025-10-02T16:14:56.349876
C_33,Показатели прогресса,"Измеримые критерии для отслеживания продвижения в карьерном развитии и выполнении проектов. Включают количественные метрики (завершённые задачи, освоенные навыки, достигнутые цели) и качественные оценки (уровень мастерства, удовлетворённость, обратная связь). Позволяют объективно оценить эффективность выбранной стратегии и корректировать направление развития.","Обеспечивают видимость прогресса в карьере, помогают принимать обоснованные решения о корректировке планов и стратегий. Создают основу для рефлексии и планирования следующих шагов развития. Мотивируют через демонстрацию достижений и выявление областей для улучшения.",draft+filled,Показатель,Количество завершённых спринтов; Рост экспертизы в ключевых компетенциях; Обратная связь от коллег и руководителя; Достижение целей недельного планирования; Прогресс по приоритетным проектам,relates_to:C_27; relates_to:C_28; relates_to:C_36; relates_to:C_37; relates_to:C_38; relates_to:C_51; relates_to:C_53,2025-10-02T15:58:57.459509,2025-10-02T16:15:08.034633
C_34,Правила качества,"Набор критериев и стандартов для оценки рабочих продуктов, процессов и результатов в карьерной деятельности. Включают требования к полноте, точности, своевременности и соответствию целям. Определяют минимально приемлемый уровень выполнения работ и помогают поддерживать профессиональные стандарты.","Обеспечивают последовательность в качестве работы, снижают количество переделок, повышают профессиональную репутацию. Помогают в самооценке результатов и планировании улучшений. Создают основу для обратной связи и развития мастерства.",draft+filled,Показатель,Чек-лист для проверки презентации; Критерии готовности проекта к сдаче; Стандарты оформления документов; Требования к тестированию кода; Правила проведения встреч,relates_to:C_4; relates_to:C_20; relates_to:C_23; relates_to:C_42; relates_to:C_44,2025-10-02T15:58:57.459914,2025-10-02T16:15:20.334829
C_35,Практики саморазвития / Новая (вторая) грамотность,"Набор осознанных методов и привычек для непрерывного развития профессиональных и личностных компетенций. Включает техники обучения, рефлексии, планирования и отслеживания прогресса. Отличается от традиционного образования фокусом на самостоятельное управление процессом развития и адаптацию к быстро меняющимся требованиям.","Обеспечивает устойчивое развитие карьеры в условиях быстрых изменений профессиональной среды. Позволяет самостоятельно выявлять пробелы в знаниях, осваивать новые навыки и адаптироваться к изменениям без зависимости от внешних образовательных программ.",draft+filled,Метод,Ведение исчезающих заметок для фиксации инсайтов; Недельное стратегирование для планирования развития; Осознанное обучение через рефлексию опыта; Мышление письмом для структурирования знаний; Взаимная рецензия для получения обратной связи,relates_to:C_11; relates_to:C_27; relates_to:C_31; relates_to:C_26; relates_to:C_4; relates_to:C_49; relates_to:C_23; relates_to:C_2,2025-10-02T15:58:57.460380,2025-10-02T16:15:33.316757
C_36,Приоритетный инвестиционный проект,"Проект, направленный на развитие личных компетенций, навыков или создание активов, который получает первоочередное распределение времени и ресурсов в рамках личного инвестиционного портфеля. Отличается от рабочих проектов тем, что создает долгосрочную ценность для карьеры, а не решает текущие задачи работодателя.","Обеспечивает системное развитие мастерства и создание личных активов, которые повышают рыночную стоимость специалиста. Позволяет сознательно инвестировать время в долгосрочный карьерный рост, а не только в текущие рабочие обязанности.",draft+filled,Артефакт,Изучение нового языка программирования; Создание личного блога или канала; Получение профессиональной сертификации; Разработка собственного продукта; Написание книги или курса,relates_to:C_10; relates_to:C_23; relates_to:C_37; relates_to:C_38; relates_to:C_27; relates_to:C_28,2025-10-02T15:58:57.460822,2025-10-02T16:15:45.013743
C_37,Приоритетный проект,"Проект, получивший наивысший приоритет в текущем планировании и требующий концентрации основных ресурсов времени и внимания. Отличается от других проектов тем, что имеет чёткие критерии завершения, ограниченные временные рамки и прямое влияние на карьерные цели. Не путать с рутинными задачами, где нет конечного результата.","Обеспечивает фокусировку усилий на наиболее важных карьерных инициативах, предотвращает распыление ресурсов между множеством задач, создаёт ощутимый прогресс в ключевых направлениях развития.",draft+filled,План работ,Запуск личного блога на 4 недели; Подготовка к сертификации в течение спринта; Разработка портфолио проектов; Изучение новой технологии за месяц; Написание статьи для профессионального издания,relates_to:C_36; relates_to:C_38; relates_to:C_27; relates_to:C_28; relates_to:C_51; relates_to:C_53; relates_to:C_33; relates_to:C_20,2025-10-02T15:58:57.461301,2025-10-02T16:15:57.222046
C_38,Приоритетный рабочий проект,"Основной проект в профессиональной деятельности, который получает максимальное внимание и ресурсы в текущем периоде. Отличается от приоритетного инвестиционного проекта тем, что направлен на выполнение текущих рабочих обязательств и достижение краткосрочных профессиональных результатов, а не на долгосрочные инвестиции в развитие.","Обеспечивает фокусировку профессиональных усилий на наиболее важных рабочих задачах, позволяет эффективно распределять время и энергию между множеством рабочих обязательств, создает основу для измерения профессиональной результативности в коротких циклах.",draft+filled,Артефакт,Ведение ключевого клиентского проекта; Разработка критически важной функциональности продукта; Подготовка стратегической презентации для руководства; Реализация процессных улучшений в команде; Выполнение срочного аналитического исследования,relates_to:C_36; relates_to:C_37; relates_to:C_1; relates_to:C_27; relates_to:C_28; relates_to:C_50; relates_to:C_51,2025-10-02T15:58:57.461744,2025-10-02T16:16:11.506625
C_39,Продуктивное состояние,"Состояние высокой эффективности, при котором человек способен выполнять задачи с минимальными усилиями и максимальной отдачей. Характеризуется ясностью мышления, энергичностью, концентрацией внимания и способностью быстро переключаться между задачами. Достигается через управление энергией, правильную организацию рабочего пространства и времени.","Обеспечивает максимальную отдачу от рабочего времени и усилий. Позволяет выполнять больше качественных задач за меньшее время, снижает стресс и повышает удовлетворённость от работы. Критично для достижения карьерных целей и поддержания устойчивого развития.",draft+filled,Состояние,Утренние часы с высокой концентрацией; Работа в потоковом состоянии без отвлечений; Выполнение сложных задач после качественного отдыха; Эффективные спринты с чёткими целями; Работа в оптимальной рабочей среде,relates_to:C_10; relates_to:C_21; relates_to:C_27; relates_to:C_28; relates_to:C_32; relates_to:C_36; relates_to:C_50; relates_to:C_51,2025-10-02T15:58:57.462190,2025-10-02T16:16:23.652001
C_3,Бренд личности,"Целостный образ профессионала, который формируется через его экспертизу, ценности, стиль коммуникации и результаты работы. Включает как внутреннее понимание своей уникальности, так и внешнее восприятие коллегами и рынком. Отличается от репутации тем, что бренд — это осознанно выстраиваемая идентичность, а репутация — следствие действий.","Помогает выделиться на рынке труда, привлекать подходящие возможности, выстраивать доверие с заказчиками и коллегами. Служит основой для принятия карьерных решений и позиционирования в профессиональном сообществе.",draft+filled,Характеристика,Экспертный блог по специализации; Узнаваемый стиль презентаций; Последовательная позиция в профессиональных дискуссиях; Личный сайт-портфолио; Активность в профильных сообществах,relates_to:C_43; relates_to:C_45; relates_to:C_16,2025-10-02T15:58:57.445569,2025-10-02T16:08:39.266145
